IATA_CODE,AIRLINE,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12
UA,United Airlines Inc.,72855,69859,87596,221992,241051,251018,858593,834900,752708,180897,164063,166165
AA,American Airlines Inc.,100340,91436,111861,204893,205483,213898,390773,374792,333357,1228216,1143684,1170366
US,US Airways Inc.,3125, 2879,3650,1132,1166,1152,1822,1721,1538,2131,1919,1977
F9,Frontier Airlines Inc.,7704,6723,8150,15450,17851,18029,10547,10274,10172,6330,5978,6246
B6,JetBlue Airways,23155, 21655,26840,35995,36711,36395,40541,39967,33603,44777,44470,47334
OO,Skywest Airlines Inc.,5523,5257,6328,10021,10496,10666,12867,12829,11547,9538,9009,8937
AS,Alaska Airlines Inc.,44572,42795,52442,69173,73475,77640,91678,91980,76900,61055,59306,62885
NK,Spirit Airlines,62840,20202,19265,23371,23173,24913,23808,32334,31616,28692,24060,23399,24781
WN,Southwest Airlines Co.,139648,132750,174420,194128,199933,204997,207244,192508,176856,179124,172536,175518
DL,Delta Airlines Inc.,182179,178681,232064,306329,321774,335534,275841,270176,236340,275628,256248,247079
EV,Atlantic Southeast Airlines,0,0,0,0,0,0,0,0,0,0,0,0
HA,Hawaiian Airlines Inc.,14149,13197,14966,20105,21814,23434,28013,27150,23250,19748,18461,19715
MQ,American Eagle Airlines Inc.,546,489,557,935,972,961,4774,4440,3971,2049,1717,1778
VX,Virgin America,4081,3763,4736,20444,21023,21374,24195,24689,21634,64073,61441,63941
